"","Outer_volume..cm3","Mean_temperature","Mean_rainfall","Range_midpoint_latitude","Insularity","Loc_rock","HBW_names"
"616",593.56,1.38,49.31,39,0,1,"Leucosticte_australis"
"617",509.75,-0.71,31.1,63.09,0,1,"Leucosticte_tephrocotis"
"618",431.56,-0.71,31.1,63.09,0,1,"Leucosticte_tephrocotis"
"621",70.52,24.97,38.15,-23.75,0,0,"Lichmera_indistincta"
"622",821.02,18.72,117.7,33.4,0,0,"Limnothlypis_swainsonii"
"623",321.61,9.27,50.14,50.77,0,0,"Linaria_cannabina"
"625",352.78,9.27,50.14,50.77,0,0,"Linaria_cannabina"
"626",434.1,4.08,31.65,40.29,0,1,"Linaria_flavirostris"
"627",211.14,4.08,31.65,40.29,0,1,"Linaria_flavirostris"
"629",183.66,8.06,44.45,55.34,0,0,"Locustella_fluviatilis"
"630",568.05,8.06,44.45,55.34,0,0,"Locustella_fluviatilis"
"631",133.65,11.27,40.85,50.99,0,0,"Locustella_luscinioides"
"632",456.61,11.27,40.85,50.99,0,0,"Locustella_luscinioides"
"633",265.87,7.61,45.02,53.8,0,0,"Locustella_naevia"
"634",290.91,7.61,45.02,53.8,0,0,"Locustella_naevia"
"635",303.02,7.61,45.02,53.8,0,0,"Locustella_naevia"
"638",1101.84,19.17,84.98,-29.32,0,0,"Lophorina_paradisea"
"639",468.7,19.35,254.12,-6.29,1,0,"Lophorina_superba"
"640",602.03,22.81,151.66,-17.61,0,0,"Lophorina_victoriae"
"641",524.83,4.31,46.32,57.57,0,0,"Loxia_curvirostra"
"642",309.19,4.31,46.32,57.57,0,0,"Loxia_curvirostra"
"643",374.76,0.91,40.59,60.05,0,0,"Loxia_leucoptera"
"644",249.24,0.91,40.59,60.05,0,0,"Loxia_leucoptera"
"646",647.18,4.79,45.52,61.63,0,0,"Loxia_pytyopsittacus"
"647",414.71,4.79,45.52,61.63,0,0,"Loxia_pytyopsittacus"
"648",469.52,6.83,102,57.45,1,0,"Loxia_scotica"
"650",496.51,22.58,132.25,22.25,1,0,"Loxops_caeruleirostris"
"652",636.34,6.52,41.74,56.32,0,0,"Luscinia_luscinia"
"657",139.89,25.18,178.31,-3.22,0,0,"Manacus_manacus"
"658",1659.22,24.22,28.15,-25.6,0,0,"Manorina_flavigula"
"659",1213.99,20.02,52.21,-29.56,0,0,"Manorina_melanocephala"
"660",115.15,15.57,82.49,-33.28,0,0,"Manorina_melanophrys"
"675",377.91,13.88,28.62,43.11,0,0,"Melanocorypha_bimaculata"
"678",132.5,23.47,30.65,-26.57,0,0,"Melanodryas_cucullata"
"679",228.85,10.63,109.65,-41.96,1,0,"Melanodryas_vittata"
"684",274.56,19.57,73.43,-28.36,0,0,"Meliphaga_lewinii"
"688",86.36,18.44,44.29,-32,0,0,"Melithreptus_brevirostris"
"689",59.99,18.43,60.35,-31.09,0,0,"Melithreptus_lunatus"
"692",399.2,3.78,56.88,53.1,0,0,"Melospiza_georgiana"
"693",225.43,1.81,49.08,55.87,0,0,"Melospiza_lincolnii"
"695",936.84,6.59,57.88,49.82,0,0,"Melospiza_melodia"
"696",918.28,18.77,13.54,33.78,0,0,"Melozone_aberti"
"704",48.13,22.72,39.01,-26.82,0,0,"Microeca_fascinans"
"710",476.61,23.5,21.91,-0.42,1,0,"Mimus_parvulus"
"716",496.9,11.74,136.98,-39.12,1,0,"Mohoua_albicilla"
"717",233.26,9.23,224.52,-42.26,1,0,"Mohoua_novaeseelandiae"
"721",540.51,13.26,77.91,33.87,0,1,"Monticola_solitarius"
"724",504.48,23.49,100.39,-5.55,0,1,"Motacilla_aguimp"
"728",225.63,19.52,57.08,-21.73,0,0,"Motacilla_capensis"
"729",282.61,3.48,42.26,56.81,0,1,"Motacilla_cinerea"
"730",271.03,2.04,32.07,57.9,0,0,"Motacilla_citreola"
"731",202.61,5.11,38.33,57.93,0,0,"Motacilla_flava"
"734",153,20.3,86.16,-9.61,0,1,"Muscicapa_adusta"
"736",156.1,24.28,137.01,-1.61,0,0,"Muscicapa_cassini"
"738",394.78,23.93,144.47,1.6,0,0,"Muscicapa_sethsmithi"
"740",353.31,7.3,43.59,53.36,0,0,"Muscicapa_striata"
"745",646.92,16.85,157.89,19.25,1,0,"Myadestes_obscurus"
"746",2706.8,16.85,157.89,19.25,1,0,"Myadestes_obscurus"
"748",660,19.69,126.81,22.25,1,1,"Myadestes_palmeri"
"749",1368.95,4.19,39.72,54.35,0,1,"Myadestes_townsendi"
"751",190.11,19.58,127.01,22.04,0,0,"Myioborus_miniatus"
"752",320.32,18.68,43.15,27.16,0,1,"Myioborus_pictus"
"757",125.36,23.1,124.48,-17.02,0,0,"Myiophobus_fasciatus"
"770",113.18,24.99,253.23,-20.75,1,0,"Myzomela_cardinalis"
"777",30.2,20.09,68.03,-27.85,0,0,"Myzomela_sanguinolenta"
"781",438.53,10.63,106.59,-41.93,1,0,"Nesoptilotis_flavicollis"
"789",62.32,23.9,69.31,8.46,0,0,"Nilaus_afer"
"792",4488.29,0.42,38.2,60.26,0,0,"Nucifraga_caryocatactes"
"793",6220.54,7.38,42.23,44.17,0,0,"Nucifraga_columbiana"
"802",224.77,14.22,43.11,38.24,0,0,"Oenanthe_hispanica"
"814",1037.09,23.13,23.34,-27.32,0,0,"Oreoica_gutturalis"
"815",485.42,21.14,129.53,22.25,1,0,"Oreomystis_bairdi"
"816",287.02,21.14,129.53,22.25,1,0,"Oreomystis_bairdi"
"825",287.16,21.88,75.18,-12.11,0,0,"Oriolus_larvatus"
"826",470.27,8.59,45.3,51.69,0,0,"Oriolus_oriolus"
"827",658.69,8.59,45.3,51.69,0,0,"Oriolus_oriolus"
"838",452.66,18.18,56.68,-32.54,0,0,"Pachycephala_pectoralis"
"839",140.8,23.62,33.82,-25.99,0,0,"Pachycephala_rufiventris"
"840",160.14,23.62,33.82,-25.99,0,0,"Pachycephala_rufiventris"
"845",643.41,8.83,24.51,45.27,0,0,"Panurus_biarmicus"
"848",1433.77,25.29,242.48,-3.62,1,0,"Paradisaea_minor"
"849",1246.39,24.01,251.96,-7.59,1,0,"Paradisaea_raggiana"
"854",1030.84,14.8,104.78,38.06,0,1,"Parkesia_motacilla"
"858",318.77,20.64,126.01,20.75,1,0,"Paroreomyza_montana"
"859",279.91,20.64,126.01,20.75,1,0,"Paroreomyza_montana"
"862",308.01,12.31,91.88,41.1,0,0,"Passerculus_henslowii"
"865",194.6,1.54,43.68,57.92,0,0,"Passerculus_sandwichensis"
"866",432.02,-3.31,28.16,63.74,0,0,"Passerella_arborea"
"867",3529.87,-1.37,32.31,61.74,0,0,"Passerella_iliaca"
"868",1246.01,-1.37,32.31,61.74,0,0,"Passerella_iliaca"
